Provinsi,Cluster_KMeans,Label_KMeans,Cluster_Agglomerative,Label_Agglomerative
Prov. D.K.I. Jakarta,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Jawa Barat,0,Provinsi Maju,1,Provinsi Maju
Prov. Jawa Tengah,0,Provinsi Maju,1,Provinsi Maju
Prov. D.I. Yogyakarta,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Jawa Timur,0,Provinsi Maju,1,Provinsi Maju
Prov. Aceh,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sumatera Utara,0,Provinsi Maju,0,Provinsi Perlu Perhatian
Prov. Sumatera Barat,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Riau,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Jambi,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sumatera Selatan,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Lampung,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kalimantan Barat,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kalimantan Tengah,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kalimantan Selatan,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kalimantan Timur,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sulawesi Utara,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sulawesi Tengah,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sulawesi Selatan,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sulawesi Tenggara,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Maluku,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Bali,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Nusa Tenggara Barat,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Nusa Tenggara Timur,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Papua,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Bengkulu,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Maluku Utara,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Banten,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kepulauan Bangka Belitung,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Gorontalo,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kepulauan Riau,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Papua Barat,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Sulawesi Barat,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Kalimantan Utara,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Papua Tengah,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Papua Selatan,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Papua Pegunungan,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
Prov. Papua Barat Daya,1,Provinsi Perlu Perhatian,0,Provinsi Perlu Perhatian
